ID,B12
AF004885,50
AF407152,50
AF407158,50
AF407160,50
DQ187010,1
HM215255,50
HM215257,50
HM215298,50
HM215299,25
HM215306,50
HM215312,0.1
HM215347,50
HM215350,50
EU513183,50
HM215266,50
HM215279,50
HM215294,50
HM215295,3.9
HM215304,50
HM215315,11.7
HM215321,50
HM215330,46.1
HM215331,50
HM215332,50
HM215260,34.8
HM215288,50
HM215323,0.78
AF407156,50
HM215261,50
HM215301,50
HM215273,50
HM215280,12.9
HM215264,50
HM215281,50
HM215282,50
HM215290,50
HM215291,50
HM215292,1.9
HM215293,50
GQ855764,50
GQ855765,4.2
AY835444,50
AY835445,50
EF210725,9.3
EF210726,50
EF210727,50
EF210728,0.9
EF210729,50
EF210730,0.2
EF210734,50
EF210733,50
EF210731,6.5
EF210735,50
EF210732,50
HM215431,50
HM215435,50
AY835440,2.6
AY835439,0.3
EU289200,3.1
AY835441,0.2
EU577190,1.9
EU577213,0.6
EU289183,3.9
EU289184,50
EU575148,3.6
EU575170,0.5
EU289185,11.1
EU289186,2
AY835434,50
EU289189,50
EU289190,50
EU289191,50
AY835438,17.5
EU289193,1.2
EU575786,50
EU575870,50
EU289196,50
AY835446,1.9
DQ318211,0.2
AY835443,50
EU576296,6.2
EU576299,2.5
AY835452,50
EU289197,1.3
AY835449,0.7
AY835447,0.1
EU123924,0.1
AY835442,2.4
EU577073,4.2
AY835448,0.5
AY835450,50
EU289202,1.1
AY835451,3.1
HM215428,0.5
HM215398,0.8
HM215399,50
HM215400,34.6
HM215397,50
HM215420,50
HM215413,50
HM215423,50
HM215401,8.8
HM215402,4.8
HM215404,23.2
HM215414,50
HM215425,3.6
HM215426,2.3
U15121,50
HM215403,50
HM215408,5.3
HM215411,4.6
HM215412,41
HM215416,50
HM215417,50
HM215421,50
EF117267,50
EF117266,50
EF117265,50
EF117268,50
EF117269,50
EF117270,50
EF117271,50
EF117272,25.9
EF117273,50
EF117274,4.9
FJ443808,50
HM215346,11.3
FJ444017,8.9
HM215352,50
HM215361,50
FJ444325,1.62
FJ444384,50
FJ444395,14.8
FJ444437,50
FJ444600,50
FJ444215,50
FJ444561,10.4
U08455,0.2
FJ443744,50
FJ443670,50
FJ444103,50
FJ444047,50
FJ444059,50
DQ435683,20.4
DQ435684,50
DQ435682,0.7
DQ411850,0.2
DQ411851,1.4
DQ411852,0.8
DQ411853,1
DQ411854,0.2
HM215437,50
HM215253,50
HM215262,50
HM215278,50
HM215289,50
HM215305,50
HM215307,50
HM215311,50
HM215314,50
HM215316,50
HM215318,50
HM215319,50
HM215320,50
HM215326,50
HM215328,50
HM215335,50
HM215336,0.8
HM215338,50
HM215341,50
HM215345,50
HM215354,50
HM215355,0.1
HM215433,50
FJ496194,22.7
EU166866,23.6
AY424163,50
AY424138,50
AY424079,50
DQ388515,19.9
DQ388516,3
DQ422948,50
DQ388517,50
DQ388514,3.2
AY423984,25.9
AY423971,50
HM215296,0.11
HM215297,50
HM215310,50
HM215313,29.2
HM215329,50
HM215337,50
HM215340,50
HM215343,4.1
HM215415,26.3
HM215409,50
HM215410,50
HM215418,50
HM215419,50
HM215422,50
HM215427,50
HM215429,50
HM215432,50
HM215436,50
EU513187,50
EU513195,50
EU513188,50
EU513182,50
EU513194,50
EU513197,38.7
EU513189,50
EU513196,50
EU513191,50
EU513184,50
EU513185,50
EU513193,7.6
EU513198,3.6
EU513186,50
EU513199,50
AF063223,50
HM215265,50
EF042692,2.8
EF117254,50
EF117255,50
EF117256,50
EF117257,10.8
EF117258,50
EF117264,50
EF117263,23.8
EF117262,50
EF117261,50
EF117260,50
EF117259,2.5
HM215405,50
HM215406,7.4
HM215407,50
EU885766,50
EU885760,50
HM215283,2.4
HM215327,50
EU885764,50
EU885759,50
EU885761,50
EU885762,50
EU885763,50
EU885765,50
EU513190,50
